"-- Please select --","-- Votre choix --"
"Allowed currencies","Devises autorisées"
"Base currency","Devise de base"
"Cannot retrieve rate from %s","Impossible de récupérer le taux de %s"
"Connection timeout in seconds","Timeout de connexion en secondes"
"Continue &raquo;","Continuer &raquo;"
"Country","Pays"
"Country Api","API de pays"
"Country and Format Type combination should be unique","La combinaison Pays et Type de format doit être unique"
"Currency","Devise"
"Currency Options","Options de devise"
"Currency Setup","Paramétrage des devises"
"Currency � jour Warnings","Alertes de mise à jour des devises"
"Currency will be used for all online payment transactions","La devise sera utilisée pour toutes les transactions de paiement en ligne"
"Default display currency","Devise affichée par défaut"
"Directory","Répertoire"
"Enabled","Activé"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"FATAL ERROR:","ERREUR FATALE :"
"Frequency","Fréquence"
"Installed Currencies","Devises installées"
"Invalid Import Service Specified","Service d'import spécifié non valide"
"Invalid country code: %s","Code de pays non valide : %s"
"Invalid rates received","Taux reçus non valides"
"Invalid target currency","Devise cible invalide"
"List of countries","Liste des pays"
"List of regions in specified country","Liste des régions dans le pays spécifié"
"Region","Région"
"Region Api","API de région"
"Remove space from currency sign","Supprimer l'espace du symbole de devise"
"Scheduled Import Settings","Paramètres d'import programmé"
"Select Your Currency","Votre devise"
"Service","Service"
"Start Time","Heure de début"
"State/Province","État/Région"
"Strikeiron Email � jour Warnings","Alertes de mise à jour de l'email Strikeiron"
"Unable to initialize import model","Impossible d'initialiser le modèle d'import"
"Undefined rate from ""%s-%s""","Taux indéfini pour ""%s-%s"""
"WARNING:","ATTENTION :"
"Webservicex","Webservicex"
"Your current currency is: %s","Votre devise actuelle est : %s"
