Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Deterrent,Default Category/Small Pet/Containment,110,Yes,,Deterrent,,,Deterrent,Deterrent,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Cooling Bandanas and Jackets,Default Category/Dog/Wellness,111,Yes,,Cooling Bandanas and Jackets,,,Cooling Bandanas and Jackets,Cooling Bandanas and Jackets,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wireless Fence,Default Category/Dog/Containment Systems,112,Yes,,Wireless Fence,,,Wireless Fence,Wireless Fence,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Dog/Containment Systems,113,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Dummies,Default Category/Dog/Sporting Dog,114,Yes,,Dummies,,,Dummies,Dummies,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Bird Launchers,Default Category/Dog/Sporting Dog,115,Yes,,Bird Launchers,,,Bird Launchers,Bird Launchers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Static Bark Control,Default Category/Dog/Bark Control,116,Yes,,Static Bark Control,,,Static Bark Control,Static Bark Control,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Dog/Training,117,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Beeper Collars,Default Category/Dog/Sporting Dog,118,Yes,,Beeper Collars,,,Beeper Collars,Beeper Collars,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Training DVDs,Default Category/Dog/Sporting Dog,119,Yes,,Training DVDs,,,Training DVDs,Training DVDs,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Static Remote Trainers,Default Category/Dog/Training,120,Yes,,Static Remote Trainers,,,Static Remote Trainers,Static Remote Trainers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Goggles,Default Category/Dog/Wellness,121,Yes,,Goggles,,,Goggles,Goggles,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Harnesses,Default Category/Dog/Collars and Leashes,122,Yes,,Harnesses,,,Harnesses,Harnesses,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Skin and Coat Care,Default Category/Dog/Grooming,123,Yes,,Skin and Coat Care,,,Skin and Coat Care,Skin and Coat Care,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
In-Ground Fences,Default Category/Dog/Containment Systems,124,Yes,,In-Ground Fences,,,In-Ground Fences,In-Ground Fences,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Dog/Crates,125,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Automatic Feeding and Watering,Default Category/Small Pet/Feeding and Watering,126,Yes,,Automatic Feeding and Watering,,,Automatic Feeding and Watering,Automatic Feeding and Watering,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Pet Video Camera,Default Category/Dog/Pet Video Camera,127,Yes,,Pet Video Camera,,,Pet Video Camera,Pet Video Camera,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Pet Video Camera,Default Category/Cat/Pet Video Camera,128,Yes,,Pet Video Camera,,,Pet Video Camera,Pet Video Camera,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Ultrasonic / Vibration,Default Category/Dog/Bark Control,129,Yes,,Ultrasonic / Vibration,,,Ultrasonic / Vibration,Ultrasonic / Vibration,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Bowl,Default Category/Dog/Feeding and Watering,130,Yes,,Bowl,,,Bowl,Bowl,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Ultrasonic,Default Category/Dog/Bark Control,131,Yes,,Ultrasonic,,,Ultrasonic,Ultrasonic,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Spray Bark Control,Default Category/Dog/Bark Control,132,Yes,,Spray Bark Control,,,Spray Bark Control,Spray Bark Control,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
In-Ground Fences,Default Category/Dog/Contianment Systems,133,Yes,,In-Ground Fences,,,In-Ground Fences,In-Ground Fences,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Dog/Contianment Systems,134,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Indoor and Outdoor Repellent,Default Category/Dog/House Breaking,135,Yes,,Indoor and Outdoor Repellent,,,Indoor and Outdoor Repellent,Indoor and Outdoor Repellent,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Frontline,Default Category/Dog/Flea and Tick,136,Yes,,Frontline,,,Frontline,Frontline,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Frontline,Default Category/Cat/Flea and Tick,137,Yes,,Frontline,,,Frontline,Frontline,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
GPS Tracking,Default Category/Dog/GPS Tracking,138,Yes,,GPS Tracking,,,GPS Tracking,GPS Tracking,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Static Remote Trainer,Default Category/Dog/Training,139,Yes,,Static Remote Trainer,,,Static Remote Trainer,Static Remote Trainer,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Interactive Toys,Default Category/Dog/Toys,140,Yes,,Interactive Toys,,,Interactive Toys,Interactive Toys,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
In-Ground Disposal,Default Category/Dog/Waste Management,141,Yes,,In-Ground Disposal,,,In-Ground Disposal,In-Ground Disposal,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Beds,Default Category/Dog/Beds,142,Yes,,Beds,,,Beds,Beds,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Treats,Default Category/Dog/Treats and Bones,143,Yes,,Treats,,,Treats,Treats,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Chew,Default Category/Dog/Toys,144,Yes,,Chew,,,Chew,Chew,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Toss and Retrieve,Default Category/Dog/Toys,145,Yes,,Toss and Retrieve,,,Toss and Retrieve,Toss and Retrieve,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Food,Default Category/Dog/Food,146,Yes,,Food,,,Food,Food,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Traditional Beds,Default Category/Dog/Beds,147,Yes,,Traditional Beds,,,Traditional Beds,Traditional Beds,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Door Mounted,Default Category/Cat/Doors,148,Yes,,Door Mounted,,,Door Mounted,Door Mounted,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Door Entry,Default Category/Dog/Doors,149,Yes,,Door Entry,,,Door Entry,Door Entry,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Patio Door Panels,Default Category/Dog/Doors,150,Yes,,Patio Door Panels,,,Patio Door Panels,Patio Door Panels,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wall Entry,Default Category/Dog/Doors,151,Yes,,Wall Entry,,,Wall Entry,Wall Entry,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Dog/Bark Control,152,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Heated Pads,Default Category/Dog/Beds,153,Yes,,Heated Pads,,,Heated Pads,Heated Pads,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Heated Pads,Default Category/Small Pet/Beds,154,Yes,,Heated Pads,,,Heated Pads,Heated Pads,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Heated Beds,Default Category/Cat/Beds,155,Yes,,Heated Beds,,,Heated Beds,Heated Beds,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Dog/Beds,156,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Soft-Cloth,Default Category/Dog/Crates,157,Yes,,Soft-Cloth,,,Soft-Cloth,Soft-Cloth,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Bolster Beds,Default Category/Dog/Beds,158,Yes,,Bolster Beds,,,Bolster Beds,Bolster Beds,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Heated Outdoor Bowls,Default Category/Dog/Feeding and Watering,159,Yes,,Heated Outdoor Bowls,,,Heated Outdoor Bowls,Heated Outdoor Bowls,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Bowls,Default Category/Cat/Feeding and Watering,160,Yes,,Bowls,,,Bowls,Bowls,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Heated Beds,Default Category/Small Pet/Beds,161,Yes,,Heated Beds,,,Heated Beds,Heated Beds,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Designer Beds,Default Category/Cat/Beds,162,Yes,,Designer Beds,,,Designer Beds,Designer Beds,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Heated Pads,Default Category/Cat/Beds,163,Yes,,Heated Pads,,,Heated Pads,Heated Pads,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Perches,Default Category/Cat/Furniture,164,Yes,,Perches,,,Perches,Perches,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Play Houses,Default Category/Cat/Furniture,165,Yes,,Play Houses,,,Play Houses,Play Houses,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Houses,Default Category/Cat/House,166,Yes,,Houses,,,Houses,Houses,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Orthopedic Beds,Default Category/Dog/Beds,167,Yes,,Orthopedic Beds,,,Orthopedic Beds,Orthopedic Beds,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Heated,Default Category/Outdoor/Hose,168,Yes,,Heated,,,Heated,Heated,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Comfort,Default Category/Dog/Travel,169,Yes,,Comfort,,,Comfort,Comfort,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Covers,Default Category/Dog/Furniture,170,Yes,,Covers,,,Covers,Covers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Pond Supplies,Default Category/Fish/Pond Supplies,171,Yes,,Pond Supplies,,,Pond Supplies,Pond Supplies,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Bath De-Icer,Default Category/Bird/Bath De-Icer,172,Yes,,Bath De-Icer,,,Bath De-Icer,Bath De-Icer,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Heated Perches,Default Category/Bird/Perches,173,Yes,,Heated Perches,,,Heated Perches,Heated Perches,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Bird/Cages,174,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Comfort,Default Category/Cat/Travel,175,Yes,,Comfort,,,Comfort,Comfort,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Strollers,Default Category/Cat/Travel,176,Yes,,Strollers,,,Strollers,Strollers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Strollers,Default Category/Dog/Travel,177,Yes,,Strollers,,,Strollers,Strollers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Life Jackets,Default Category/Dog/Water Safety,178,Yes,,Life Jackets,,,Life Jackets,Life Jackets,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Cold Weather Gear,Default Category/Dog/Wellness,179,Yes,,Cold Weather Gear,,,Cold Weather Gear,Cold Weather Gear,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Agility Training,Default Category/Dog/Agility Training,180,Yes,,Agility Training,,,Agility Training,Agility Training,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Poop Bags,Default Category/Dog/Waste Management,181,Yes,,Poop Bags,,,Poop Bags,Poop Bags,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Litter Kwitter,Default Category/Cat/Waste Management,182,Yes,,Litter Kwitter,,,Litter Kwitter,Litter Kwitter,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
DNA Test,Default Category/Dog/DNA Test,183,Yes,,DNA Test,,,DNA Test,DNA Test,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Cages,Default Category/Small Pet/Cages,184,Yes,,Cages,,,Cages,Cages,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wire,Default Category/Dog/Crates,185,Yes,,Wire,,,Wire,Wire,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Small Pet/Cages,186,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Soft - Cloth,Default Category/Dog/Crates,187,Yes,,Soft - Cloth,,,Soft - Cloth,Soft - Cloth,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Puppy Play Pens,Default Category/Dog/Crates,188,Yes,,Puppy Play Pens,,,Puppy Play Pens,Puppy Play Pens,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Beds,Default Category/Dog/Crates,189,Yes,,Beds,,,Beds,Beds,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Exercise Pens,Default Category/Dog/Crates,190,Yes,,Exercise Pens,,,Exercise Pens,Exercise Pens,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Cages,Default Category/Cat/Containment,191,Yes,,Cages,,,Cages,Cages,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Tables,Default Category/Dog/Grooming,192,Yes,,Tables,,,Tables,Tables,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Kennels,Default Category/Dog/Kennels,193,Yes,,Kennels,,,Kennels,Kennels,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Rakes and Scoops,Default Category/Dog/Waste Management,194,Yes,,Rakes and Scoops,,,Rakes and Scoops,Rakes and Scoops,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Clippers,Default Category/Dog/Grooming,195,Yes,,Clippers,,,Clippers,Clippers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Ultrasonic Bark Control,Default Category/Dog/Bark Control,196,Yes,,Ultrasonic Bark Control,,,Ultrasonic Bark Control,Ultrasonic Bark Control,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Dog/Remote Training,197,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Static Remote Trainers,Default Category/Dog/Remote Training,198,Yes,,Static Remote Trainers,,,Static Remote Trainers,Static Remote Trainers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Ultrasonic Remote Training,Default Category/Dog/Remote Training,199,Yes,,Ultrasonic Remote Training,,,Ultrasonic Remote Training,Ultrasonic Remote Training,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Dog/Containment Systemss,200,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wireless Fences,Default Category/Dog/Containment Systemss,201,Yes,,Wireless Fences,,,Wireless Fences,Wireless Fences,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Automatic Litter Boxes,Default Category/Cat/Litter Boxes,202,Yes,,Automatic Litter Boxes,,,Automatic Litter Boxes,Automatic Litter Boxes,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Litter Scoops,Default Category/Cat/Litter Boxes,203,Yes,,Litter Scoops,,,Litter Scoops,Litter Scoops,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Pool Steps,Default Category/Dog/Water Safety,204,Yes,,Pool Steps,,,Pool Steps,Pool Steps,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Rafts,Default Category/Dog/Water Safety,205,Yes,,Rafts,,,Rafts,Rafts,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Boat Ladder,Default Category/Dog/Water Safety,206,Yes,,Boat Ladder,,,Boat Ladder,Boat Ladder,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
In-Ground Fences,Default Category/Dog/Containment Systemss,207,Yes,,In-Ground Fences,,,In-Ground Fences,In-Ground Fences,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wireless Fences,Default Category/Dog/Containment Systems,208,Yes,,Wireless Fences,,,Wireless Fences,Wireless Fences,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Shampoo,Default Category/Dog/Grooming,209,Yes,,Shampoo,,,Shampoo,Shampoo,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Automatic Feeding and Watering,Default Category/Cat/Feeding and Watering,210,Yes,,Automatic Feeding and Watering,,,Automatic Feeding and Watering,Automatic Feeding and Watering,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Steps,Default Category/Dog/Furniture,211,Yes,,Steps,,,Steps,Steps,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Replacement Flap,Default Category/Dog/Doors,212,Yes,,Replacement Flap,,,Replacement Flap,Replacement Flap,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Door Mounted,Default Category/Dog/Doors,213,Yes,,Door Mounted,,,Door Mounted,Door Mounted,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Automatic Feeding and Watering,Default Category/Dog/Doors,214,Yes,,Automatic Feeding and Watering,,,Automatic Feeding and Watering,Automatic Feeding and Watering,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Indoor Potties,Default Category/Dog/Waste Management,215,Yes,,Indoor Potties,,,Indoor Potties,Indoor Potties,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Odor Eliminator,Default Category/Dog/House Breaking,216,Yes,,Odor Eliminator,,,Odor Eliminator,Odor Eliminator,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Training Aid Spray,Default Category/Dog/House Breaking,217,Yes,,Training Aid Spray,,,Training Aid Spray,Training Aid Spray,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Spray Deterrent,Default Category/Cat/Containment Systems,218,Yes,,Spray Deterrent,,,Spray Deterrent,Spray Deterrent,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Cat/Containment Systemss,219,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Spray Remote Trainers,Default Category/Dog/Training,220,Yes,,Spray Remote Trainers,,,Spray Remote Trainers,Spray Remote Trainers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Indoor Containment,Default Category/Dog/Containment Systemss,221,Yes,,Indoor Containment,,,Indoor Containment,Indoor Containment,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
 Static Remote Trainers,Default Category/Dog/Training,222,Yes,, Static Remote Trainers,,, Static Remote Trainers, Static Remote Trainers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
In-Ground Fences,Default Category/Cat/Containment Systemss,223,Yes,,In-Ground Fences,,,In-Ground Fences,In-Ground Fences,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wall Mounted,Default Category/Cat/Doors,224,Yes,,Wall Mounted,,,Wall Mounted,Wall Mounted,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Ultrasonic Remote Training,Default Category/Dog/Training,225,Yes,,Ultrasonic Remote Training,,,Ultrasonic Remote Training,Ultrasonic Remote Training,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Feeders,Default Category/Cat/Toys,226,Yes,,Feeders,,,Feeders,Feeders,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Scratching Posts,Default Category/Cat/Furniture,227,Yes,,Scratching Posts,,,Scratching Posts,Scratching Posts,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Rawhide,Default Category/Dog/Treats and Bones,228,Yes,,Rawhide,,,Rawhide,Rawhide,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Interactive,Default Category/Dog/Treats and Bones,229,Yes,,Interactive,,,Interactive,Interactive,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Dog/Containment System,230,Yes,,Accessories,,,Accessories,Accessories,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wood / Designer,Default Category/Dog/Crates,231,Yes,,Wood / Designer,,,Wood / Designer,Wood / Designer,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Freestanding,Default Category/Dog/Gates,232,Yes,,Freestanding,,,Freestanding,Freestanding,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wood / Designer,Default Category/Dog/Crate,233,Yes,,Wood / Designer,,,Wood / Designer,Wood / Designer,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wicker,Default Category/Dog/Crates,234,Yes,,Wicker,,,Wicker,Wicker,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Litter Box Covers,Default Category/Cat/Litter Boxes,235,Yes,,Litter Box Covers,,,Litter Box Covers,Litter Box Covers,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Ramps,Default Category/Dog/Furniture,236,Yes,,Ramps,,,Ramps,Ramps,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Tracking,Default Category/Dog/Sporting Dog,237,Yes,,Tracking,,,Tracking,Tracking,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
