"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Interactive","Default Category/Cat/Toys","1","Yes","interactive","Interactive","","","Interactive","Interactive","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Heated Beds","Default Category/Dog/Beds","1","Yes","heated-beds","Heated Beds","","","Heated Beds","Heated Beds","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cooling Beds","Default Category/Dog/Beds","2","Yes","cooling-beds","Cooling Beds","","","Cooling Beds","Cooling Beds","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Accessories","Default Category/Dog/Houses","1","Yes","accessories","Accessories","","","Accessories","Accessories","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Brushes","Default Category/Dog/Grooming","1","Yes","brushes","Brushes","","","Brushes","Brushes","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Tie-Out Stakes","Default Category/Dog/Collars and Leashes","1","Yes","tie-out-stakes","Tie-Out Stakes","","","Tie-Out Stakes","Tie-Out Stakes","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Collars","Default Category/Dog/Collars and Leashes","2","Yes","collars","Collars","","","Collars","Collars","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Leashes","Default Category/Dog/Collars and Leashes","3","Yes","leashes","Leashes","","","Leashes","Leashes","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Memorials","Default Category/Dog/Memorials","1","Yes","memorials","Memorials","","","Memorials","Memorials","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Automatic Feeding and Watering","Default Category/Dog/Feeding and Watering","1","Yes","automatic-feeding-and-watering","Automatic Feeding and Watering","","","Automatic Feeding and Watering","Automatic Feeding and Watering","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Food Storage","Default Category/Dog/Feeding and Watering","2","Yes","food-storage","Food Storage","","","Food Storage","Food Storage","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Feeding and Watering","Default Category/Dog/Feeding and Watering","3","Yes","feeding-and-watering","Feeding and Watering","","","Feeding and Watering","Feeding and Watering","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Bowls","Default Category/Dog/Feeding and Watering","4","Yes","bowls","Bowls","","","Bowls","Bowls","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Litter Boxes","Default Category/Cat/Litter Boxes","1","Yes","litter-boxes","Litter Boxes","","","Litter Boxes","Litter Boxes","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Elevated Feeding","Default Category/Dog/Feeding and Watering","5","Yes","elevated-feeding","Elevated Feeding","","","Elevated Feeding","Elevated Feeding","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Static Bark Control","Default Category/Dog/Bark Control","1","Yes","static-bark-control","Static Bark Control","","","Static Bark Control","Static Bark Control","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Accessories","Default Category/Dog/Training","1","Yes","accessories","Accessories","","","Accessories","Accessories","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Beeper Collars","Default Category/Dog/Sporting Dog","3","Yes","beeper-collars","Beeper Collars","","","Beeper Collars","Beeper Collars","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Beds","Default Category/Dog/Beds","3","Yes","beds","Beds","","","Beds","Beds","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Treats","Default Category/Dog/Treats and Bones","1","Yes","treats","Treats","","","Treats","Treats","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Chew","Default Category/Dog/Toys","3","Yes","chew","Chew","","","Chew","Chew","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Toss and Retrieve","Default Category/Dog/Toys","4","Yes","toss-and-retrieve","Toss and Retrieve","","","Toss and Retrieve","Toss and Retrieve","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Food","Default Category/Dog/Food","1","Yes","food","Food","","","Food","Food","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Traditional Beds","Default Category/Dog/Beds","4","Yes","traditional-beds","Traditional Beds","","","Traditional Beds","Traditional Beds","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Door Mounted","Default Category/Cat/Doors","1","Yes","door-mounted","Door Mounted","","","Door Mounted","Door Mounted","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Door Entry","Default Category/Dog/Doors","1","Yes","door-entry","Door Entry","","","Door Entry","Door Entry","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Patio Door Panels","Default Category/Dog/Doors","2","Yes","patio-door-panels","Patio Door Panels","","","Patio Door Panels","Patio Door Panels","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wall Entry","Default Category/Dog/Doors","3","Yes","wall-entry","Wall Entry","","","Wall Entry","Wall Entry","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Accessories","Default Category/Dog/Bark Control","5","Yes","accessories","Accessories","","","Accessories","Accessories","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Heated Pads","Default Category/Dog/Beds","5","Yes","heated-pads","Heated Pads","","","Heated Pads","Heated Pads","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Heated Beds","Default Category/Cat/Beds","1","Yes","heated-beds","Heated Beds","","","Heated Beds","Heated Beds","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Accessories","Default Category/Dog/Beds","6","Yes","accessories","Accessories","","","Accessories","Accessories","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Soft-Cloth","Default Category/Dog/Crates","2","Yes","soft-cloth","Soft-Cloth","","","Soft-Cloth","Soft-Cloth","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Bolster Beds","Default Category/Dog/Beds","7","Yes","bolster-beds","Bolster Beds","","","Bolster Beds","Bolster Beds","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Heated Outdoor Bowls","Default Category/Dog/Feeding and Watering","7","Yes","heated-outdoor-bowls","Heated Outdoor Bowls","","","Heated Outdoor Bowls","Heated Outdoor Bowls","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"In-Ground Disposal","Default Category/Dog/Waste Management","1","Yes","in-ground-disposal","In-Ground Disposal","","","In-Ground Disposal","In-Ground Disposal","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Interactive Toys","Default Category/Dog/Toys","2","Yes","interactive-toys","Interactive Toys","","","Interactive Toys","Interactive Toys","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Static Remote Trainer","Default Category/Dog/Training","3","Yes","static-remote-trainer","Static Remote Trainer","","","Static Remote Trainer","Static Remote Trainer","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Training DVDs","Default Category/Dog/Sporting Dog","4","Yes","training-dvds","Training DVDs","","","Training DVDs","Training DVDs","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Static Remote Trainers","Default Category/Dog/Training","2","Yes","static-remote-trainers","Static Remote Trainers","","","Static Remote Trainers","Static Remote Trainers","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Goggles","Default Category/Dog/Wellness","5","Yes","goggles","Goggles","","","Goggles","Goggles","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Harnesses","Default Category/Dog/Collars and Leashes","4","Yes","harnesses","Harnesses","","","Harnesses","Harnesses","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Skin and Coat Care","Default Category/Dog/Grooming","3","Yes","skin-and-coat-care","Skin and Coat Care","","","Skin and Coat Care","Skin and Coat Care","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"In-Ground Fences","Default Category/Dog/Containment Systems","3","Yes","in-ground-fences","In-Ground Fences","","","In-Ground Fences","In-Ground Fences","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Accessories","Default Category/Dog/Crates","1","Yes","accessories","Accessories","","","Accessories","Accessories","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Pet Video Camera","Default Category/Dog/Pet Video Camera","1","Yes","pet-video-camera","Pet Video Camera","","","Pet Video Camera","Pet Video Camera","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Ultrasonic / Vibration","Default Category/Dog/Bark Control","2","Yes","ultrasonic-vibration","Ultrasonic / Vibration","","","Ultrasonic / Vibration","Ultrasonic / Vibration","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Bowl","Default Category/Dog/Feeding and Watering","6","Yes","bowl","Bowl","","","Bowl","Bowl","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Ultrasonic","Default Category/Dog/Bark Control","3","Yes","ultrasonic","Ultrasonic","","","Ultrasonic","Ultrasonic","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Spray Bark Control","Default Category/Dog/Bark Control","4","Yes","spray-bark-control","Spray Bark Control","","","Spray Bark Control","Spray Bark Control","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"In-Ground Fences","Default Category/Dog/Contianment Systems","1","Yes","in-ground-fences","In-Ground Fences","","","In-Ground Fences","In-Ground Fences","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Accessories","Default Category/Dog/Contianment Systems","2","Yes","accessories","Accessories","","","Accessories","Accessories","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Indoor and Outdoor Repellent","Default Category/Dog/House Breaking","2","Yes","indoor-and-outdoor-repellent","Indoor and Outdoor Repellent","","","Indoor and Outdoor Repellent","Indoor and Outdoor Repellent","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Frontline","Default Category/Dog/Flea and Tick","3","Yes","frontline","Frontline","","","Frontline","Frontline","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"GPS Tracking","Default Category/Dog/GPS Tracking","2","Yes","gps-tracking","GPS Tracking","","","GPS Tracking","GPS Tracking","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Bowls","Default Category/Cat/Feeding and Watering","1","Yes","bowls","Bowls","","","Bowls","Bowls","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
